LATITUDE,LONGITUDE,ELEVATION,PRCP,SNOW,SNWD,TMAX,TMIN
36.46263,-116.8672,-59.1,0.015559451338868224,0.0,0.0,68.61134689053691,46.0792773298598
36.46263,-116.8672,-59.1,-0.01050141702826101,0.0,0.0,72.83579407921731,48.03782521989364
36.46263,-116.8672,-59.1,-0.03480607315767574,0.0,0.0,98.91790877784454,60.56875696296086
36.46263,-116.8672,-59.1,0.03742402218679033,0.0,0.0,71.80069930958896,71.97659155942551
36.46263,-116.8672,-59.1,-0.012070450299556671,0.0,0.0,73.61044378894901,48.116329701877206
36.46263,-116.8672,-59.1,-0.0354279044215742,0.0,0.0,118.76160091461443,93.48728519715893
36.46263,-116.8672,-59.1,-0.029502970397343717,0.0,0.0,68.39643727390845,44.875220761737104
36.46263,-116.8672,-59.1,0.003845213843437168,0.0,0.0,83.18940068262793,51.922283430026596
36.46263,-116.8672,-59.1,-0.0009156357208282519,0.0,0.0,115.91583578125908,88.77962123709669
36.46263,-116.8672,-59.1,-0.04187676461927888,0.0,0.0,80.79053562809878,52.12299842836239
36.46263,-116.8672,-59.1,0.010289143366560753,0.0,0.0,113.66030270568054,82.4381233552311
36.46263,-116.8672,-59.1,0.038708271556718486,0.0,0.0,62.56916656163577,44.01165268037711
36.46263,-116.8672,-59.1,0.10983108559699684,0.0,0.0,73.92600048349122,59.388697430588
36.46263,-116.8672,-59.1,0.005503276751301751,0.0,0.0,61.27976695402414,44.1791228503874
36.46263,-116.8672,-59.1,-0.012469462018769863,0.0,0.0,105.58605056023059,65.93980605047176
36.46263,-116.8672,-59.1,-0.018000758577058275,0.0,0.0,85.14358568142316,59.56731827517797
36.46263,-116.8672,-59.1,-0.03798815075111476,0.0,0.0,112.58811416127688,86.9499703423529
36.46263,-116.8672,-59.1,-0.012581307558086487,0.0,0.0,86.7657046876813,64.6930731348986
36.46263,-116.8672,-59.1,0.03411312087471958,0.0,0.0,69.84097252958958,58.90280218316534
36.46263,-116.8672,-59.1,-0.018077777187712855,0.0,0.0,93.37857032966579,59.3789720960819
36.46263,-116.8672,-59.1,0.04816817236922926,0.0,0.0,65.90579624137573,43.47226854677992
